final_asset,ruined
12573320.539568542,0
16850413.008507926,0
17766475.71135339,0
6223941.689973116,0
9999900.210351095,0
-3150909.296364888,1
-6575299.9209223455,1
29306314.85041443,0
-1337616.5859489527,1
2438290.956885448,0
45920917.816317886,0
8578326.36323604,0
9331726.56795607,0
29206478.346266117,0
-6002142.591912357,1
305098.02326180344,0
9750012.097278336,0
10326158.069555588,0
2616685.1278380333,0
16491321.775697375,0
6386274.604175531,0
-2158540.0371440286,1
3009956.0606650426,0
-3681356.8227396067,1
5982278.621510117,0
19495386.338071294,0
17214194.075068474,0
8219107.0156785175,0
5136898.394913533,0
14991395.557724385,0
11582878.964843985,0
21359556.16417582,0
34968721.6270299,0
-2830819.0859839227,1
26696338.604120065,0
50131753.14066851,0
26549706.4806415,0
47880165.763879485,0
132458436.38279408,0
-5140957.926244779,1
26748149.39835772,0
36623659.31071656,0
-5834004.546052913,1
-669268.7454260318,1
10729660.94093952,0
13539035.826898977,0
14131522.48719457,0
2677363.3751950795,0
22492767.09053812,0
16674371.930020763,0
42740411.84529253,0
16213178.169753162,0
1351005.0125496285,0
25929844.595038805,0
-2458782.1053156196,1
43758426.506278746,0
2464508.3594161645,0
42581550.78204767,0
12192682.185652582,0
6893887.042022838,0
13453423.500025168,0
22482127.75470339,0
18566112.447464548,0
26739474.504637152,0
235082.62052749677,0
-2261270.049489256,1
3101785.868453844,0
14539249.130391879,0
38850681.36309845,0
43184607.685787335,0
58090095.679393895,0
18498778.559296716,0
29539323.66303076,0
13042057.089539977,0
18421391.885186695,0
32957978.587295495,0
66339242.33643999,0
-1956850.8567649995,1
-7098542.232288207,1
35480292.30798155,0
10131495.91270296,0
31327669.574874323,0
33777741.859377876,0
2573216.2931911987,0
22211598.919312015,0
25538945.83843588,0
6629798.231576112,0
26415186.395971287,0
13519536.831117952,0
14611699.333280684,0
6256939.591543954,0
9365712.030821964,0
22984350.772528943,0
45459291.50589442,0
-4442358.464808915,1
41823420.3163605,0
17828313.81608768,0
22379154.856511705,0
-2849311.4171701293,1
48140372.547274895,0
62213859.637874976,0
2347519.427158314,0
6102312.727974453,0
73748.06829179524,0
-11765208.311619392,1
43533515.55610515,0
12252952.428453013,0
34660193.83907422,0
7420340.620685113,0
3343251.32375695,0
-560486.8415571824,1
40265830.23436809,0
22038109.596153487,0
-676669.1631863397,1
26871070.95150547,0
395389.91284625535,0
11658575.416863935,0
20040476.230393954,0
24480891.618851572,0
32387287.2402786,0
55892191.46700256,0
-8991625.642124834,1
-8019566.753217791,1
21305043.59111231,0
2122897.9142393777,0
-3855858.5000965744,1
2645517.3298801007,0
5807828.541508015,0
7882622.584417567,0
18659455.450914983,0
13712050.096784545,0
25543832.118880562,0
11713031.353059584,0
12361488.99928305,0
262372.3679300891,0
15209931.344693247,0
23691633.78021535,0
6854246.827247737,0
61290717.30500236,0
4773376.420165852,0
20815384.770185914,0
19602340.855103105,0
11405766.808221439,0
54813427.07797915,0
8485356.039319735,0
2662774.1014646967,0
59410245.01063804,0
4064789.092586253,0
2264248.6474792263,0
-1729266.6003187988,1
34931253.207302056,0
32103797.334963743,0
9090502.418874612,0
56835837.392640024,0
21343994.504867334,0
16753340.031619012,0
9789848.823393581,0
21269299.322457064,0
11074328.570306793,0
3621234.2206587354,0
16133251.150278358,0
15729938.714123875,0
-13022952.523461228,1
-7901544.100016614,1
-167452.08719296774,1
23271388.255596813,0
-727342.2121260612,1
-1240157.4745533518,1
15845276.947773913,0
1264294.6799018385,0
17246627.35324297,0
-5319642.726873717,1
-628226.2407832907,1
87211899.84135845,0
45444252.09726344,0
3566228.0810454576,0
1853404.0025975462,0
31754691.573676635,0
2220412.8553243107,0
17910935.983480677,0
2506918.6047312724,0
5556713.758333851,0
10814542.23470101,0
24585872.508432902,0
-118134.6024614572,1
344540.4630188046,0
28076683.31177641,0
18584044.12174034,0
-5288692.590918151,1
37598094.9775368,0
3178802.4600952766,0
3596449.276758988,0
-5086621.152588739,1
12647715.097817533,0
-740088.9488311416,1
7175137.932225504,0
27312293.769704778,0
-8567660.100303307,1
10430991.753426997,0
15561060.202857427,0
25022315.957383037,0
43831446.75878788,0
45571202.934810996,0
13484114.565885337,0
36671321.13838902,0
40003051.12501646,0
28127836.90025836,0
39287522.69227457,0
12668911.080749385,0
26758696.22570853,0
-3711350.4850465804,1
12859068.943847815,0
12506780.50666184,0
15172652.920869786,0
20338918.061864752,0
1319430.0941085774,0
3154787.422593,0
25289035.94190943,0
86882227.76776603,0
15647984.206993863,0
-1464169.4012485456,1
10973357.365401162,0
19660501.989721417,0
71422704.66084379,0
5760008.174624841,0
13213877.685673416,0
5512993.804816186,0
42962540.497299686,0
22849397.912360445,0
52763043.834420174,0
29889278.67600798,0
27630013.69603701,0
3715073.0666251536,0
13493805.903213533,0
10232716.128472637,0
4465950.193087516,0
10597464.546968931,0
1936259.622030524,0
-10604445.15379191,1
7479501.545390297,0
2766226.5238202657,0
26628408.193501193,0
35746432.562144145,0
16912383.40975422,0
-6551338.181739006,1
4577546.434054019,0
15848623.690450938,0
3705366.3517090385,0
11655628.47640161,0
35205454.703746974,0
13478613.692846581,0
96816735.96588768,0
68842327.13707612,0
12943539.361009745,0
8900630.515434096,0
9725192.804646494,0
22641855.40684258,0
743521.935255823,0
22268544.15487977,0
-2630839.75953563,1
10964625.057186397,0
15592959.067992834,0
49869958.869024105,0
5821403.9634801,0
16190443.030628288,0
9080181.015112877,0
42088254.057651065,0
-3558216.8589244992,1
17759406.955095425,0
2710060.8032361846,0
22068472.29666784,0
12680955.395485567,0
15648185.86758108,0
38149261.87762722,0
696822.028679211,0
-7674254.26008147,1
41128675.39923967,0
7901724.7072430635,0
85274612.12042633,0
48882011.495340474,0
44639528.06223215,0
16447305.137157556,0
-2640499.0667800354,1
436190.5877832223,0
25612917.575142678,0
8252481.433338623,0
23070017.322488457,0
27018603.851070553,0
11839663.651578968,0
13123981.32681131,0
2609703.6556379003,0
4772515.020961401,0
6761924.052234429,0
-1191807.6878465638,1
18666642.835306916,0
16383512.464324577,0
23839239.5955578,0
14481577.93454906,0
27983777.97589027,0
14017921.159441901,0
34955758.880667284,0
-1048254.569655294,1
106588331.23167501,0
34406750.3008539,0
11330522.022021387,0
1468530.7224289055,0
6575195.04336967,0
8693449.904767646,0
-3790765.3496197453,1
24554265.812024422,0
43292594.40316539,0
26034422.65791147,0
11469840.653257167,0
-2453759.2414423847,1
2451674.304253739,0
77440012.68414779,0
24583341.30640049,0
33869717.999696374,0
25002714.346775264,0
44468341.02104637,0
54550739.356012195,0
13952843.67653348,0
4528435.273685667,0
1823956.1821802314,0
56530076.62830216,0
54833099.108579785,0
6340523.005321248,0
1621909.9765035517,0
12966404.884292485,0
9471954.630084477,0
75113213.10045914,0
40543631.72249325,0
10689361.94144948,0
-2052640.9100645368,1
12052580.651649343,0
12724953.8869728,0
24348603.4243805,0
-818802.5056888289,1
